text	label
yo cada viajo              	joy
con esta va dormir            	anger
nadie te merece pero asi e esto del amor  	sadness
esta hermoso el dia y yo        	anger
se fueron e pura            	joy
como los donde tu eres son medio      	joy
sigo por lo campera            	anger
manana entro universidad              	sadness
oye contigo soy feliz en serio        	sadness
esa verguenza post instagram esa          	sadness
gustaria poder guardar todos estos sentimientos en una caja bajo	joy
para mi                	joy
volvi iglesia                	joy
unos usan el para olvidar y yo ebrio hasta en	joy
estoy tan feliz con el grupo mi companeros trabajo 	joy
sera lo extrano              	sadness
""" asi e se como un sueno pero fotos no"	sadness
mucho persona                	sadness
hice un buen trabajo este fds ahora entiendo todo el	sadness
y aqui vamos otra vez          	joy
desde luego                	joy
dia 7 no hemos hablado mucho        	sadness
ya extrano mi gusta quedarme sola        	sadness
en mi vacaciones del trabajo lo unico he hecho e	joy
odio persona lo unico saben hacer e      	joy
nunca nada ahora esta ropa vengo        	anger
ah cabron ahora el facebook publica en mi twitter no	anger
para no tener              	joy
esto e el colmo en serio sube pero nosotros tienen	anger
? hay algo mas triste ir por una pasta dientes	sadness
yo como gorda pero feliz          	joy
muy lindo finde no puedo quejar        	joy
mi novio ya vio los meme del mundo    	anger
y mi karma con esto e tan grande mi y	joy
cono bro                	sadness
se hace el corazon chiquito          	sadness
se lo diganme q si          	joy
baja un ratito abuelo            	sadness
pinto ese y esos verdes con el amigo    	joy
domingo peli y pensamientos            	sadness
estresa no tener nada para esta noche      	anger
como pasaron tan rapido vacaciones          	sadness
lista para cambiar el amor mi vida por otra vida	joy
quedare con esto punto            	joy
no puedo sentir peor lpm justo hoy      	anger
momento en el llegas trabajar casa ducha mono pijama cena	joy
queria tanto ta na            	sadness
tres horas y lo unico hacen e darse vuelta y	anger
ojala                  	joy
hola perdon te con mi nude        	sadness
tengo dejar pensar boludeces            	sadness
lo mas prudente y puedo hacer ahora e ir al	sadness
quiero un pinche pollo alv          	anger
bueno pesar pasar toda semana mal aun el curso ya	joy
y seguimos trabajando en paciencia          	sadness
no entienden nada              	joy
ojala alguna noche pueda dormir sin despertarme tantas veces  	anger
esta semana no tendre descanso          	sadness
mi e                	joy
el se fue  aunque lo veia venir presiento despues	sadness
tan facil e dejar en paz tus parejas y asi	anger
ya estoy empezando eso pasa por sentarme lado    	sadness
hace cantidad no te veo todo bien con vos  	joy
esa maldita costumbre dormirme en el tren y    	anger
se parte cabeza llorar todo el dia cuando tiene estar	anger
y veremos no este sabado muy buen dia    	joy
dia tan triste              	sadness
un finde ma no alcanzo respirar ya e domingo noche	anger
lata wn                	sadness
no te                	sadness
ya no solamente e un pais caro para el ahora	sadness
free uf                	joy
ganamos                  	joy
amo este pais habia olvidado lo rico e estar aqui	joy
se rie cosas digo            	sadness
e horrible no poder segura ni en tu propia casa	sadness
aun siento mal por soy peor persona      	sadness
servicio mas el del internet en este pais    	anger
todo lo te haga feliz vale pena      	joy
agosto con soy un gordito bueno        	sadness
mi misma                	sadness
wea no e ser wea e ser feliz    	joy
re perro                	anger
ya salto con              	sadness
amor e atencion tiempo y calidad        	joy
leo                  	joy
mono eres hijo mio            	sadness
no quiero entrar              	sadness
justin                  	sadness
como no  my dona          	joy
empiece el juego              	joy
acaban descubrir mi plan            	sadness
no se serie empezar            	sadness
odio nada ni nadie puede hacerme sentir bien    	sadness
soy tan feliz              	joy
ya estaria poniendo mal humor          	anger
voy cancha mi madre bronca loco        	anger
e tan encontrar alguien con tienes mucha pero al final	sadness
entre en depresion con los snap goal e y yo	joy
despues muchos anos se puede el oro e bueno  	joy
aburrimiento tengo                	sadness
ya manana se acaba el          	sadness
lo odio muy mucho            	anger
feo e este enfermo y no poder quedarme    	sadness
cuando tienes cara              	joy
si no e no e justicia        	anger
soy tan sensible pone mal si el esta mal  	sadness
nada peor llegar casa pensando en milanesa dejado y no	joy
hace dano porfa              	joy
subo o no subo el video        	sadness
malditas ganas besarte y no poder        	sadness
no te creo nada            	joy
y por el pueblo            	anger
di tambien estaba perder 1 0 tapia      	anger
necesito amigo nuevos quien se          	sadness
lo extrano mucho              	sadness
dificil e ver tu senora madre triste y no poder	sadness
toda tarde con sueno y cuando quiero dormir no puedo	anger
yo tengo ma un alguien hacen mi vida mas dulce	joy
y si son 12 am por favor      	joy
tengan todos los lean este mensaje lo mejor vida deseo	joy
se darle un abrazo sonriendo          	joy
yo tratando hacer toda tareas puedo en el fin semana	joy
cansada estoy                	sadness
verdad fue una buena platica          	joy
pinche trafico                	anger
usar una vez y            	joy
ok ni hablemos los video y los di para mesa	joy
24 horas irme pasan estas cosas        	sadness
he ido playa por tarde y verdad lo mejor pa	joy
pesadilla otra f              	sadness
extranando                  	sadness
y donde esa pendeja lo mato alv pinche fea  	sadness
con primo como nahuel pa quiero        	anger
hacer hacer hacer y seguir haciendo        	joy
con una                	sadness
podrida estoy                	anger
necesito un abrazo y solo tu lo puedes dar  	joy
fuimos al encuentro con y no ganamos una bolsa  	joy
? se acuerdan hace una semana ya queria entrar escuela	joy
hoy quedo en casa calentita          	joy
triste noticia fui al desde jardin        	sadness
si pudiera los todos            	sadness
descuidas do minutos y ya estoy comprando un pasaje para	joy
enferma si tenes alguna duda preguntame        	anger
rico e despertarse esta hora          	joy
si senor veces puedo ser muy hp      	anger
he levantado como una y se han pocas ganas tenia	joy
no quiero el miercoles en noche llegue      	sadness
e increible esta hora no puedo seguir durmiendo si no	joy
abrir insta ver una foto y wea se despues paso	sadness
pero no te importa no te importa nada q haga	sadness
va hacer otro hermoso dia          	anger
al el fondo pantalla al telefono 5 veces por dia	joy
fue un placer contigo en esta vida      	joy
ahorita ando llorando gastritis pero ayer bien con sus cervezas	anger
ta ya esta ya siento mejor        	joy
pregunta seria le hablo al hombre del estoy enamorado para	sadness
estoy re                	sadness
en vida todo e y cada cosa y trae su	joy
lo unico lindo del franco e poder hablar con mi	joy
ele seguia                	sadness
mate y facturas con mi familia mi mejor domingo  	joy
extrano                  	sadness
parece hasta te gusta hacerme sufrir        	sadness
ganas sentir le hago bien y soy para ella  	sadness
y por cocinar              	joy
mi team trabajo ya estan por estoy comiendo carne en	sadness
quisiera ver los estos juegos el al companero adelante y	anger
ok ya tengo irme aqui estoy 2 cambiar mama  	anger
le mando mi papa para decirle algo no quiero escuche	anger
solo quiero una llamada no llegara nunca     	sadness
mi cumpleanos con amigo            	joy
duele una banda el estomago          	sadness
mi corazon y  buenas noches        	sadness
sigue chiste                	sadness
no le queda otra ya en argentina no le hicieron	anger
ganas estar ahi              	sadness
no debi haber visto nunca infinity war      	sadness
cagada pana                	sadness
belleza e mentira busca en el corazon      	joy
no molesta eso              	anger
porque verdad duele tanto            	sadness
no estoy llorando              	sadness
equivoque                  	sadness
noche puro netflix y helado con mi      	joy
rehuso comenzar clases manana  esto e injusto    	anger
pregunta seria ? cuanto dura un guayabo      	sadness
este se cumple un ano mi max lo extrano tanto	sadness
buen inicio semana todos            	joy
santa paciencia quiero ver el y nada mas hacen poner	anger
? alguien sabe donde o perros sean chica    	joy
partio el alma              	sadness
un hombre mayor acaba decir ojala mi belleza dure anos	joy
asi querias ser presidente se quede en el casa mejor	anger
y culpa tiene el ignorancia humana hdp      	anger
encanta este libro y recien lo empiezo      	joy
dormi ante y ahora estoy entre dormida y despierta pero	sadness
si no ya no e mi problema      	joy
hacer mia y listo ya          	joy
no puede haber un poco alcohol en mi casa por	sadness
lo q faltaba para completar el        	anger
llegar tu casa y no tener sueno y no tener	sadness
sera hace un monton no extrano nadie      	joy
quiero irme lejos estar solo          	sadness
buenos dias crush cumple manana          	joy
vueltas dan mucha vida            	joy
no puedo dormir              	sadness
lastima perdi seguidores              	sadness
onda pa eso hay tenis esos son      	anger
siento siento no hago lo correcto siento aqui no soy	sadness
? conocen alguien sepa hacer en        	sadness
gracias dios no en pc ayer porq siempre comen oreja	anger
ya empezaron otra vez quitar maldita luz      	anger
el cambio sin tanto drama lo e pa su e	joy
el y yo partir hoy          	joy
tal vez en otra vida          	sadness
estoy muy sad ahora mismo          	sadness
mi lleve el diablo            	sadness
