,text,label
0,yo cada viajo              ,joy
1,con esta va dormir            ,anger
2,nadie te merece pero asi e esto del amor  ,sadness
3,esta hermoso el dia y yo        ,anger
4,se fueron e pura            ,joy
5,como los donde tu eres son medio      ,joy
6,sigo por lo campera            ,anger
7,manana entro universidad              ,sadness
8,oye contigo soy feliz en serio        ,sadness
9,esa verguenza post instagram esa          ,sadness
10,gustaria poder guardar todos estos sentimientos en una caja bajo,joy
11,para mi                ,joy
12,volvi iglesia                ,joy
13,unos usan el para olvidar y yo ebrio hasta en,joy
14,estoy tan feliz con el grupo mi companeros trabajo ,joy
15,sera lo extrano              ,sadness
16,""" asi e se como un sueno pero fotos no",sadness
17,mucho persona                ,sadness
18,hice un buen trabajo este fds ahora entiendo todo el,sadness
19,y aqui vamos otra vez          ,joy
20,desde luego                ,joy
21,dia 7 no hemos hablado mucho        ,sadness
22,ya extrano mi gusta quedarme sola        ,sadness
23,en mi vacaciones del trabajo lo unico he hecho e,joy
24,odio persona lo unico saben hacer e      ,joy
25,nunca nada ahora esta ropa vengo        ,anger
26,ah cabron ahora el facebook publica en mi twitter no,anger
27,para no tener              ,joy
28,esto e el colmo en serio sube pero nosotros tienen,anger
29,? hay algo mas triste ir por una pasta dientes,sadness
30,yo como gorda pero feliz          ,joy
31,muy lindo finde no puedo quejar        ,joy
32,mi novio ya vio los meme del mundo    ,anger
33,y mi karma con esto e tan grande mi y,joy
34,cono bro                ,sadness
35,se hace el corazon chiquito          ,sadness
36,se lo diganme q si          ,joy
37,baja un ratito abuelo            ,sadness
38,pinto ese y esos verdes con el amigo    ,joy
39,domingo peli y pensamientos            ,sadness
40,estresa no tener nada para esta noche      ,anger
41,como pasaron tan rapido vacaciones          ,sadness
42,lista para cambiar el amor mi vida por otra vida,joy
43,quedare con esto punto            ,joy
44,no puedo sentir peor lpm justo hoy      ,anger
45,momento en el llegas trabajar casa ducha mono pijama cena,joy
46,queria tanto ta na            ,sadness
47,tres horas y lo unico hacen e darse vuelta y,anger
48,ojala                  ,joy
49,hola perdon te con mi nude        ,sadness
50,tengo dejar pensar boludeces            ,sadness
51,lo mas prudente y puedo hacer ahora e ir al,sadness
52,quiero un pinche pollo alv          ,anger
53,bueno pesar pasar toda semana mal aun el curso ya,joy
54,y seguimos trabajando en paciencia          ,sadness
55,no entienden nada              ,joy
56,ojala alguna noche pueda dormir sin despertarme tantas veces  ,anger
57,esta semana no tendre descanso          ,sadness
58,mi e                ,joy
59,el se fue  aunque lo veia venir presiento despues,sadness
60,tan facil e dejar en paz tus parejas y asi,anger
61,ya estoy empezando eso pasa por sentarme lado    ,sadness
62,hace cantidad no te veo todo bien con vos  ,joy
63,esa maldita costumbre dormirme en el tren y    ,anger
64,se parte cabeza llorar todo el dia cuando tiene estar,anger
65,y veremos no este sabado muy buen dia    ,joy
66,dia tan triste              ,sadness
67,un finde ma no alcanzo respirar ya e domingo noche,anger
68,lata wn                ,sadness
69,no te                ,sadness
70,ya no solamente e un pais caro para el ahora,sadness
71,free uf                ,joy
72,ganamos                  ,joy
73,amo este pais habia olvidado lo rico e estar aqui,joy
74,se rie cosas digo            ,sadness
75,e horrible no poder segura ni en tu propia casa,sadness
76,aun siento mal por soy peor persona      ,sadness
77,servicio mas el del internet en este pais    ,anger
78,todo lo te haga feliz vale pena      ,joy
79,agosto con soy un gordito bueno        ,sadness
80,mi misma                ,sadness
81,wea no e ser wea e ser feliz    ,joy
82,re perro                ,anger
83,ya salto con              ,sadness
84,amor e atencion tiempo y calidad        ,joy
85,leo                  ,joy
86,mono eres hijo mio            ,sadness
87,no quiero entrar              ,sadness
88,justin                  ,sadness
89,como no  my dona          ,joy
90,empiece el juego              ,joy
91,acaban descubrir mi plan            ,sadness
92,no se serie empezar            ,sadness
93,odio nada ni nadie puede hacerme sentir bien    ,sadness
94,soy tan feliz              ,joy
95,ya estaria poniendo mal humor          ,anger
96,voy cancha mi madre bronca loco        ,anger
97,e tan encontrar alguien con tienes mucha pero al final,sadness
98,entre en depresion con los snap goal e y yo,joy
